Method	Level	Precision	Recall	F1_Score	Accuracy	Common_Features
QIIME2	Kingdom	1	1	1	1	770
QIIME2	Phylum	1	1	1	1	770
QIIME2	Class	1	1	1	1	770
QIIME2	Order	1	1	1	1	770
QIIME2	Family	1	1	1	1	770
QIIME2	Genus	1	1	1	1	770
QIIME2	Species	1	1	1	1	770
DADA2	Kingdom	0.9935	0.9974	0.9954	0.9909	770
DADA2	Phylum	0.6039	0.6292	0.6163	0.4454	770
DADA2	Class	0.7117	0.7538	0.7321	0.5774	770
DADA2	Order	0.3844	0.4217	0.4022	0.2517	770
DADA2	Family	0.5325	0.6175	0.5718	0.4004	770
DADA2	Genus	0.3299	0.4032	0.3629	0.2216	770
DADA2	Species	0	0	0	0.187	770
